PID,Season,contestant,ChW,ChA,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Finish,Time,nonVFB,VFB%,nVFB%,NoJ,InRCA,InRCW,InICA,InICW,InChA,InChW,InChW%,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,TrCh 2nd,TrCh 3rd,Exile,TVA,VAT%,NI VFT,NI VFT%,Gender,Day 1 Filming date,Age,Hometown,State,Population of Hometown,Profession,Job Code (SOC),Collar,Generation
58,20,Boston Rob Mariano,2.8,3.43,0.82,0,1,5,27,3,0.27,1.04,1,0,9,0,1.09,3.84,18,13,2,2,0.33,0.67,3.84,0.5,0.5,1,1,1.5,1.5,1,4,2,6,4,10,6,0.6,0,0,0,2,0.67,-1,-0.25,M,8/9/2009,33,Pensacola,FL,53193,Construction Worker,47-2061,B,X
270,20,Coach Wade,0.8,2.83,0.28,0,1,4,34,4,0.22,0.88,3,0,9,0,0.5,1.68,21,12,2,3,0.25,0.75,1.68,0,0,1,0,1,0,0,5,2,7,4,12,6,0.5,0,0,0,1,0.25,3,0.75,M,8/9/2009,38,Los Angeles,CA,3898747,Soccer Coach/Musician,27-2022,N,X
223,20,Courtney Yates,0.57,3.23,0.18,6,2,9,40,5,0.36,0.86,2,0,9,0,0.53,1.43,24,11,2,3,0.4,0.6,1.43,0,0,1,0,1,0,0,6,2,8,2,14,4,0.286,0,0,0,3,0.6,2,0.4,F,8/9/2009,29,New York,NY,8468000,Waitress,35-3031,B,X
266,20,J.T. Thomas,1.23,4.23,0.29,0,5,5,50,6,0.82,2.59,5,0,9,0,1.11,3.82,27,10,2,1,0.83,0.17,3.82,0,0,2,0,2,0,0,6,3,8,4,14,7,0.5,0,0,0,1,0.17,5,0.83,M,8/9/2009,25,Samson,AL,1928,Cattle Rancher,45-2093,B,Y
224,20,Amanda Kimmel,1.56,5.56,0.28,0,4,10,59,7,0.55,1.14,4,0,9,0,0.83,2.7,30,9,2,3,0.57,0.43,2.7,0,0,3,0,3,0,0,7,4,8,4,15,8,0.533,0,0,0,3,0.43,4,0.57,F,8/9/2009,25,Los Angeles,CA,3898747,Aspiring Designer,27-1020,N,Y
190,20,Candice Woodcock,2.23,7.56,0.29,0,5,5,67,8,0.62,1.94,7,0,9,0,0.91,4.17,31,8,3,3,0.63,0.38,4.17,0.5,0,4,1,4.5,1,0.22,7,3,8,4,15,7,0.467,0,0,0,1,0.13,6,0.86,F,8/9/2009,27,Washington,DC,689545,Physician,29-1229,W,Y
168,20,Danielle DiLorenzo,2.19,7.56,0.29,3,7,4,74,9,0.77,2.72,7,0,9,0,1.06,4.92,33,7,3,2,0.78,0.22,4.92,0,0,5,1,5,1,0.2,7,4,8,3,15,7,0.467,0,0,0,2,0.22,6,0.75,F,8/9/2009,28,Pompano Beach,FL,107762,Medical Sales Representative,41-9099,W,Y
104,20,Rupert Boneham,1.23,9.56,0.13,1,6,10,80,10,0.59,1.2,7,0,9,0,0.72,2.43,36,6,3,4,0.6,0.4,2.43,1,0,6,0,7,0,0,7,3,8,4,15,7,0.467,0,0,0,3,0.3,7,0.7,M,8/9/2009,45,Indianapolis,IN,887642,Troubled Teens Mentor,21-1019,N,Baby Boomer
18,20,Colby Donaldson,1.56,10.56,0.15,1,5,7,85,11,0.45,1.16,8,0,9,0,0.59,2.72,37,5,2,6,0.45,0.55,2.72,1,0,7,0,8,0,0,7,4,8,4,15,8,0.533,0,0,0,3,0.27,8,0.73,M,8/9/2009,35,Dallas,TX,1300092,Actor,27-2011,N,X
24,20,Jerri Manthey,3,11.56,0.26,2,9,4,89,12,0.75,2.63,9,0,9,0,1.01,5.63,38,4,2,3,0.75,0.25,5.63,1,1,8,1,9,2,0.22,7,3,8,4,15,7,0.467,0,0,0,3,0.25,7,0.64,F,8/9/2009,38,Los Angeles,CA,3898747,Actress,27-2011,N,X
283,20,Russell Hantz,2.68,11.56,0.23,2,11,5,89,12,0.91,2.85,10,0,9,0,1.14,5.53,39,3,3,1,0.92,0.08,5.53,1,0,8,2,9,2,0.22,7,2,8,3,15,5,0.333,0,0,0,2,0.17,8,0.8,M,8/9/2009,36,Dayton,TX,7575,Oil Company Owner,13-0000,W,X
188,20,Parvati Shallow,3.71,11.56,0.32,3,10,4,89,12,0.83,2.92,9,3,9,0.33,1.48,8.63,39,2,3,2,0.83,0.17,6.63,1,0,8,3,9,3,0.33,7,1,8,4,15,5,0.333,0,0,0,3,0.25,6,0.67,F,8/9/2009,27,Los Angeles,CA,3898747,Charity Organizer,21-1099,W,Y
97,20,Sandra Diaz-Twine,0.69,11.56,0.06,6,9,1,89,12,0.75,4.2,10,6,9,0.67,1.48,8.89,39,1,2,3,0.75,0.25,4.89,1,0,8,0,9,0,0,7,2,8,3,15,5,0.333,0,0,0,2,0.17,10,0.83,F,8/9/2009,35,Fayetteville,NC,201963,Office Assistant,43-6000,W,X
321,21,Wendy Jo DeSmidt-Kohlhoff,0,0.1,0,0,0,9,10,1,-0.9,0,0,0,9,0,-0.9,0,3,20,1,1,0,1,0,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0,0,0,0,1,1,0,0,F,6/14/2010,48,Fromberg,MT,407,Goat Rancher,45-2093,B,Baby Boomer
320,21,Shannon Elkins,0.1,0.21,0.47,0,0,7,10,1,-0.7,0,0,0,9,0,-0.23,0.1,6,19,1,1,0,1,0.1,0,0,0,0,0,0,#DIV/0!,0,0,2,1,2,1,0.5,0,0,0,1,1,0,0,M,6/14/2010,30,Lafayette,LA,127657,Pest Control Company Owner,13-0000,W,X
319,21,Jimmy Johnson,0.11,0.32,0.34,0,1,8,19,2,0.29,1.17,1,0,9,0,0.63,1.28,8,18,1,1,0.5,0.5,1.28,0,0,0,0,0,0,#DIV/0!,0,0,3,1,3,1,0.333,0,0,0,1,0.5,1,0.5,M,6/14/2010,67,Islamorada,FL,7131,Former NFL Coach,27-2022,N,Silent
318,21,Jimmy Tarantino,0.11,0.45,0.25,0,2,5,27,3,0.6,2.07,2,0,9,0,0.85,2.19,11,17,1,1,0.67,0.33,2.19,0,0,0,0,0,0,#DIV/0!,0,0,4,1,4,1,0.25,0,0,0,1,0.33,2,0.67,M,6/14/2010,48,Gloucester,MA,29781,Commercial Fisherman,45-3031,B,Baby Boomer
317,21,Tyrone Davis,0.24,0.7,0.34,0,3,6,35,4,0.71,2.1,3,0,9,0,1.05,2.34,14,16,1,1,0.75,0.25,2.34,0,0,0,0,0,0,#DIV/0!,1,1,5,1,6,2,0.333,0,0,0,1,0.25,3,0.75,M,6/14/2010,42,Inglewood,CA,111666,Firefighter,33-2011,B,X
316,21,Kelly Bruno,0.34,1.7,0.2,1,1,3,18,2,0.42,2,1,0,9,0,0.61,2.34,15,15,1,1,0.5,0.5,2.34,0,0,1,0,1,0,0,1,0,5,3,6,3,0.5,0,0,0,1,0.5,1,0.5,F,6/14/2010,26,Durham,NC,257636,Medical Student,29-0000,W,Y
315,21,Yve Rojas,0.24,1.7,0.14,0,4,7,42,5,0.77,2.04,3,0,9,0,0.91,2.27,15,14,1,1,0.8,0.2,2.27,0,0,1,0,1,0,0,1,1,5,1,6,2,0.333,0,0,0,2,0.4,3,0.6,F,6/14/2010,41,Kansas City,MO,475378,Homemaker,00-0000,?,X
314,21,Jill Behm,1.74,2.53,0.69,0,3,3,42,5,0.59,2.4,3,0,9,0,1.27,4.14,18,13,1,2,0.6,0.4,4.14,0.5,0.5,1,1,1.5,1.5,1,2,0,6,2,8,2,0.25,0,0,0,2,0.4,2,0.38,F,6/14/2010,43,Erie,PA,99475,ER Doctor,29-1214,W,X
313,21,Alina Wilson,0.79,3.03,0.26,0,2,10,37,4,0.43,1,2,0,9,0,0.69,1.79,22,12,1,2,0.5,0.5,1.79,0,0,2,0,2,0,0,2,2,6,4,8,6,0.75,0,0,0,2,0.5,2,0.5,F,6/14/2010,23,Downey,CA,114219,Art Student,27-1000,N,Y
312,21,Marty Piombo,0.44,4.23,0.1,0,4,14,65,7,0.54,0.89,3,0,9,0,0.64,1.33,24,11,1,3,0.57,0.43,1.33,0,0,3,0,3,0,0,3,1,6,2,9,3,0.333,0,0,0,4,0.57,3,0.43,M,6/14/2010,48,Mill Valley,CA,14394,Technology Executive,21-Nov,W,Baby Boomer
311,21,Brenda Lowe,1.46,5.43,0.27,0,5,13,58,6,0.8,1.37,3,0,9,0,1.07,2.83,27,10,1,1,0.83,0.17,2.83,0,0,4,1,4,1,0.25,4,0,6,4,10,4,0.4,0,0,0,3,0.5,2,0.4,F,6/14/2010,27,Miami,FL,441003,Paddleboard Company Owner,13-0000,B,Y
310,21,NaOnka Mixon *,1.24,5.68,0.22,1,6,3,58,6,0.83,1.5,3,0,9,0,1.05,2.74,28,9,1,0,1,0,2.74,0,0,4,0,4,0,0,5,4,6,4,11,8,0.727,0,0,0,3,0.5,3,0.5,F,6/14/2010,27,Los Angeles,CA,3898747,P.E. Teacher,25-2000,W,Y
309,21,Purple Kelly Shinn *,0.54,5.68,0.09,1,5,0,58,6,0.7,1.67,5,0,9,0,0.79,2.2,28,8,1,1,0.83,0.17,2.2,0,0,4,0,4,0,0,5,1,6,3,11,4,0.364,0,0,0,1,0.17,5,0.83,F,6/14/2010,20,Mesa,AZ,471825,Nursing Student,29-1140,B,Y
308,21,"Ben ""Benry"" Henry",1.24,7.68,0.16,0,5,5,65,7,0.7,2.22,4,0,9,0,0.87,3.47,32,7,1,2,0.71,0.29,3.47,1,0,5,0,6,0,0,5,4,6,4,11,8,0.727,0,0,0,3,0.43,4,0.57,M,6/14/2010,24,Los Angeles,CA,3898747,Club Promoter,13-1121,N,Y
307,21,Jane Hammett Bright,2.44,9.68,0.25,1,5,11,87,10,0.49,0.93,6,0,9,0,0.74,3.37,36,6,1,5,0.5,0.5,3.37,2,0,6,2,8,2,0.25,5,1,6,2,11,3,0.273,0,0,0,4,0.4,4,0.5,F,6/14/2010,56,Jackson Springs,NC,206,Dog Trainer,39-2011,N,Baby Boomer
306,21,Dan Lembo,0.77,10.68,0.07,2,8,9,92,11,0.72,1.57,6,0,9,0,0.79,2.34,37,5,1,3,0.73,0.27,2.34,2,0,7,0,9,0,0,5,3,6,2,11,5,0.455,0,0,0,5,0.45,6,0.55,M,6/14/2010,63,Watermill,NY,1860,Real Estate Executive,Nov-41,W,Baby Boomer
305,21,Holly Hoffman,1.82,12.18,0.15,0,10,4,96,12,0.83,2.92,8,0,9,0,0.98,4.74,38,4,1,2,0.83,0.17,4.74,2.5,0,8,1,10.5,1,0.1,5,3,6,2,11,5,0.455,0,0,0,4,0.33,7,0.64,F,6/14/2010,44,Eureka,SD,810,Swim Coach,27-2022,N,X
304,21,Sash Lenahan,1.66,11.68,0.14,1,9,1,79,10,0.9,5.04,7,0,9,0,1.04,6.7,39,3,1,1,0.9,0.1,6.7,2,0,8,1,10,1,0.1,5,1,6,4,11,5,0.455,0,0,0,3,0.3,6,0.67,M,6/14/2010,30,New York,NY,8468000,Real Estate Broker,41-9021,W,X
303,21,Chase Rice,3.24,11.68,0.28,1,10,1,79,10,1,5.6,7,4,9,0.444,1.72,11.51,39,2,1,0,1,0,8.84,2,2,8,0,10,2,0.2,5,4,6,4,11,8,0.727,0,0,0,3,0.3,5,0.5,M,6/14/2010,24,Fairview,NC,2678,Professional Racecar Jackman,49-3020,N,Y
302,21,Fabio Birza,5.86,11.68,0.5,0,6,2,79,10,0.6,2.8,7,5,9,0.556,1.65,11.99,39,1,1,4,0.6,0.4,8.66,2,0,8,4,10,4,0.4,5,2,6,4,11,6,0.545,0,0,0,3,0.3,3,0.5,M,6/14/2010,21,Venice,CA,40885,Student,54-0000,?,Y
337,22,Francesca Hogi,0,0.61,0,0,0,4,9,1,-0.44,0,0,0,9,0,-0.44,0,6,18,1,1,0,1,0,0,0,0,0,0,0,#DIV/0!,0,0,2,0,2,0,0,0,0,3,1,1,0,0,F,8/16/2010,36,Washington,DC,689545,Attorney,23-1011,W,X
283,22,Russell Hantz,0.24,0.88,0.27,0,0,3,9,1,-0.33,0,0,0,9,0,-0.06,0.24,10,17,3,1,0,1,0.24,0,0,0,0,0,0,#DIV/0!,0,0,3,2,3,2,0.667,0,0,2,1,1,0,0,M,8/16/2010,38,Dayton,TX,7575,Oil Company Owner,13-0000,W,X
336,22,Kristina Kell,0.14,1.02,0.14,0,0,7,22,3,-0.11,0,0,0,9,0,0.03,0.14,12,16,1,3,0,1,0.14,0,0,0,0,0,0,#DIV/0!,0,0,4,1,4,1,0.25,0,0,1,3,1,0,0,F,8/16/2010,46,Malibu,CA,12965,Law Student,23-0000,W,Baby Boomer
335,22,Krista Klumpp,0.24,1.19,0.2,1,0,6,17,2,-0.18,0,1,0,9,0,0.02,0.24,14,15,1,2,0,1,0.24,0,0,0,0,0,0,#DIV/0!,0,0,5,2,5,2,0.4,0,0,1,1,0.5,1,0.5,F,8/16/2010,25,Columbia,SC,133803,Pharmaceutical Representative,41-4011,W,Y
334,22,Stephanie Valencia,0.38,1.36,0.28,0,0,8,24,3,-0.11,0,1,0,9,0,0.17,0.38,17,14,1,3,0,1,0.38,0,0,0,0,0,0,#DIV/0!,0,0,6,3,6,3,0.5,0,0,1,2,0.67,1,0.33,F,8/16/2010,26,Long Beach,CA,474140,Waitress,35-3031,B,Y
329,22,Sarita White,0.38,1.52,0.25,2,2,6,30,4,0.45,1.4,2,0,9,0,0.7,1.78,19,13,1,2,0.5,0.5,1.78,0,0,0,0,0,0,#DIV/0!,0,0,7,3,7,3,0.429,0,0,1,2,0.5,2,0.5,F,8/16/2010,36,Santa Monica,CA,93220,Visual Effects Producer,27-1014,N,X
333,22,David Murphy,0.25,4.52,0.06,1,2,8,63,7,0.27,0.67,5,0,9,0,0.32,0.92,27,12,1,5,0.29,0.71,0.92,0,0,3,0,3,0,0,0,0,7,2,7,2,0.286,0,0,1,2,0.29,5,0.71,M,8/16/2010,31,West Hollywood,CA,36222,Defense Attorney,23-1011,W,X
330,22,Julie Wolfe,0.38,5.52,0.07,1,3,6,72,8,0.36,1.05,7,0,9,0,0.43,1.43,28,11,1,5,0.38,0.63,1.43,0,0,4,0,4,0,0,0,0,7,3,7,3,0.429,0,0,1,1,0.13,7,0.88,F,8/16/2010,50,Oceanside,CA,175691,Firefighter,33-2011,B,Baby Boomer
331,22,Steve Wright,0.38,7.52,0.05,1,4,9,87,10,0.39,0.86,7,0,9,0,0.44,1.24,31,10,1,6,0.4,0.6,1.24,0,0,6,0,6,0,0,0,0,7,3,7,3,0.429,0,0,1,3,0.3,7,0.7,M,8/16/2010,51,Huntington Beach,CA,201899,Ex-NFL Player,27-2021,N,Baby Boomer
332,22,Ralph Kiser,0.38,7.02,0.05,1,3,9,80,9,0.32,0.72,7,0,9,0,0.37,1.22,33,9,1,6,0.33,0.67,1.1,0,0,5,0,5,0,0,0,0,7,3,7,3,0.429,0,0,3,2,0.22,7,0.78,M,8/16/2010,45,Lebanon,VA,3342,Farmer,13-Nov,B,X
324,22,Matt Elrod,3.5,5.74,0.61,0,1,10,27,3,0.21,0.67,1,0,9,0,0.82,4.92,36,8,1,2,0.33,0.67,4.17,0,0,0,0,0,0,#DIV/0!,0,0,2,0,2,0,0,0,0,29,2,0.67,1,0.33,M,8/16/2010,29,West Hollywood,CA,36222,Ex-NFL Player,27-2021,N,Y
326,22,Mike Chiesl,1.88,5.52,0.34,0,4,6,53,6,0.65,1.87,5,0,9,0,0.99,4,36,7,1,2,0.67,0.33,3.75,0,0,2,0,2,0,0,0,0,7,3,7,3,0.429,0,0,14,1,0.17,5,0.83,M,8/16/2010,22,Nashville,TN,689447,Pre-Med Student,29-0000,W,Y
325,22,Grant Mattos,2.64,9.52,0.28,0,9,10,90,11,0.81,1.64,8,0,9,0,1.09,4.28,36,6,1,2,0.82,0.18,4.28,0,0,8,2,8,2,0.25,0,0,7,4,7,4,0.571,0,0,1,3,0.27,6,0.67,M,8/16/2010,31,Del Mar,CA,4351,Iraq War Veteran,55-0000,B,X
327,22,Andrea Boehlke,2.14,10.02,0.21,0,7,9,90,11,0.63,1.37,9,0,9,0,0.84,3.64,37,5,1,4,0.64,0.36,3.51,0,0,8,1,8,1,0.13,0,0,7,4,7,4,0.571,0,0,4,2,0.18,8,0.8,F,8/16/2010,21,Random Lake,WI,1594,Student,54-0000,?,Y
323,22,Ashley Underwood,2.64,11.02,0.24,0,11,3,99,13,0.84,3.38,12,0,9,0,1.08,6.03,38,4,1,2,0.85,0.15,6.03,0,0,10,2,10,2,0.2,0,0,7,4,7,4,0.571,0,0,0,1,0.08,10,0.91,F,8/16/2010,25,Benton,ME,2658,Nurse,29-1140,B,Y
322,22,Natalie Tenerelli,1.64,11.02,0.15,0,12,1,99,13,0.92,5.17,12,0,9,0,1.07,6.81,39,3,1,1,0.92,0.08,6.81,0,0,10,1,10,1,0.1,0,0,7,4,7,4,0.571,0,0,0,1,0.08,11,0.92,F,8/16/2010,19,Acton,CA,7596,Professional Dancer,27-2031,N,Y
328,22,Phillip Sheppard,0.64,11.02,0.06,0,12,17,99,13,0.91,1.23,6,1,9,0.11,1.08,2.54,39,2,1,1,0.92,0.08,1.87,0,0,10,0,10,0,0,0,0,7,4,7,4,0.571,0,0,0,7,0.54,6,0.46,M,8/16/2010,52,Santa Monica,CA,93220,Former Federal Agent?,33-3021,W,Baby Boomer
58,22,Boston Rob Mariano,4.64,11.02,0.42,0,12,6,99,13,0.92,2.58,10,8,9,0.89,2.23,12.56,39,1,4,1,0.92,0.08,7.23,0,0,10,4,10,4,0.4,0,0,7,4,7,4,0.571,0,0,0,3,0.23,6,0.67,M,8/16/2010,34,Pensacola,FL,53193,Construction Worker,47-2061,B,X
353,23,Semhar Tadesse,0,0.61,0,0,0,8,9,1,-0.89,0,0,0,9,0,-0.89,0,6,18,1,1,0,1,0,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0,0,0,3,1,1,0,0,F,5/30/2011,24,Los Angeles,CA,3898747,Spoken Word Artist,27-3040,N,Y
351,23,Papa Bear Caruso,0.13,0.86,0.15,0,1,6,17,2,0.32,1.4,1,0,9,0,0.47,1.53,9,17,1,1,0.5,0.5,1.53,0,0,0,0,0,0,#DIV/0!,0,0,3,1,3,1,0.333,0,0,1,1,0.5,1,0.5,M,5/30/2011,48,Forest Hills,NY,67714,Retired NYPD Detective,33-3021,W,Baby Boomer
352,23,Stacey Powell,0.24,1,0.24,0,0,10,17,2,-0.29,0,0,0,9,0,-0.06,0.24,12,16,1,2,0,1,0.24,0,0,0,0,0,0,#DIV/0!,0,0,4,2,4,2,0.5,0,0,1,2,1,0,0,F,5/30/2011,44,Grand Prairie,TX,187809,Mortician,39-4031,W,X
341,23,Elyse Umemoto,0.27,1.15,0.23,0,2,3,24,3,0.63,2.67,2,0,9,0,0.86,2.93,15,15,1,1,0.67,0.33,2.93,0,0,0,0,0,0,#DIV/0!,0,0,6,2,6,2,0.333,0,0,1,1,0.33,2,0.67,F,5/30/2011,27,Las Vegas,NV,623747,Dance Team Manager,27-2022,N,Y
344,23,Mikayla Wingle,0.38,1.31,0.29,0,2,4,24,3,0.61,2.33,2,0,9,0,0.9,2.71,17,14,1,1,0.67,0.33,2.71,0,0,0,0,0,0,#DIV/0!,0,0,6,3,6,3,0.5,0,0,1,1,0.33,2,0.67,F,5/30/2011,22,Tampa,FL,384959,Lingerie Football Player,27-2021,N,Y
345,23,Christine Shields-Markoski,2.61,3.24,0.81,0,0,4,9,1,-0.44,0,0,0,9,0,0.36,2.61,20,13,1,1,0,1,2.61,0,0,0,0,0,0,#DIV/0!,0,0,2,1,2,1,0.5,0,0,15,1,1,0,0,F,5/30/2011,39,Merrick,NY,22097,Teacher,25-2000,W,X
346,23,Jim Rice,1.43,4.48,0.32,0,3,8,63,7,0.41,1,5,0,9,0,0.73,2.43,25,12,1,4,0.43,0.57,2.43,0,0,3,1,3,1,0.33,0,0,7,3,7,3,0.429,0,0,1,2,0.29,4,0.67,M,5/30/2011,35,Denver,CO,715522,Medical Marijuana Dispenser,29-1051,W,X
347,23,Keith Tollefson,0.68,2.48,0.28,0,3,6,42,5,0.57,1.68,4,0,9,0,0.85,2.36,25,11,1,2,0.6,0.4,2.36,0,0,1,0,1,0,0,0,0,7,3,7,3,0.429,0,0,4,1,0.2,4,0.8,M,5/30/2011,26,Edina,MN,50138,Water Treatment Technician,51-8031,W,Y
343,23,Dawn Meehan,1.43,6.48,0.22,0,5,9,72,8,0.61,1.35,6,0,9,0,0.83,2.78,28,10,1,3,0.63,0.38,2.78,0,0,4,1,4,1,0.25,0,0,7,3,7,3,0.429,0,0,1,2,0.25,5,0.71,F,5/30/2011,41,South Jordan,UT,66648,English Profressor,25-1123,W,X
342,23,Whitney Duncan,1.68,6.48,0.26,0,4,7,80,9,0.43,1.13,8,0,9,0,0.69,2.82,28,9,1,5,0.44,0.56,2.82,0,0,5,1,5,1,0.2,0,0,7,3,7,3,0.429,0,0,1,1,0.11,7,0.88,F,5/30/2011,26,Nashville,TN,689447,Country Music Singer,27-2042,N,Y
349,23,John Cochran,0.43,7.48,0.06,0,8,13,87,10,0.79,1.32,3,0,9,0,0.84,1.75,31,8,1,2,0.8,0.2,1.75,0,0,7,0,7,0,0,0,0,7,3,7,3,0.429,0,0,1,7,0.7,3,0.3,M,5/30/2011,24,"Washington, ",C.,689545,Harvard Law Student,23-0000,W,Y
350,23,Edna Ma,0.55,8.48,0.06,2,7,15,87,10,0.68,1.03,4,0,9,0,0.75,1.58,33,7,1,3,0.7,0.3,1.58,0,0,7,0,7,0,0,0,0,7,4,7,4,0.571,0,0,1,6,0.6,4,0.4,F,5/30/2011,35,Los Angeles,CA,3898747,Anesthesiologist,29-1211,W,X
340,23,Brandon Hantz,1.55,9.48,0.16,0,10,4,92,11,0.91,3.18,9,0,9,0,1.07,4.73,36,6,1,1,0.91,0.09,4.73,0,0,8,1,8,1,0.13,0,0,7,4,7,4,0.571,0,0,1,2,0.18,8,0.8,M,5/30/2011,19,Katy,TX,16158,Oil Tanker Crewman,53-6031,B,Y
348,23,Rick Nelson,0.55,9.98,0.05,1,10,11,97,12,0.82,1.56,9,0,9,0,0.88,2.1,37,5,1,2,0.83,0.17,2.1,0,0,9,0,9,0,0,0,0,7,4,7,4,0.571,0,0,0,3,0.25,9,0.75,M,5/30/2011,51,Aurora,UT,1029,Rancher,45-2093,B,Baby Boomer
184,23,Ozzy Lusth,5.93,8.48,0.7,0,2,17,62,8,0.22,0.33,5,0,9,0,0.92,6.27,38,4,3,6,0.25,0.75,6.27,0.5,0.5,4,2,4.5,2.5,0.56,0,0,7,3,7,3,0.429,0,0,15,3,0.38,3,0.42,M,5/30/2011,30,Venice,CA,40885,Photographer,27-4021,B,Y
339,23,Albert Destrade,1.55,10.98,0.14,0,11,1,101,13,0.85,4.74,12,0,9,0,0.99,6.28,39,3,1,2,0.85,0.15,6.28,0,0,10,1,10,1,0.1,0,0,7,4,7,4,0.571,0,0,0,1,0.08,11,0.92,M,5/30/2011,26,Plantation,FL,4919,Baseball/Dating Coach,27-2022,N,Y
270,23,Coach Wade,1.55,11.48,0.13,0,13,0,101,13,1,7,13,3,9,0.33,1.47,10.55,39,2,1,0,1,0,8.55,0.5,0,10,1,10.5,1,0.1,0,0,7,4,7,4,0.571,0,0,0,0,0,12,1,M,5/30/2011,39,Susanville,CA,15247,Soccer Coach/Musician,27-2022,N,X
338,23,Sophie Clarke,3.55,10.98,0.32,0,11,5,101,13,0.84,2.63,10,6,9,0.67,1.83,10.18,39,1,3,2,0.85,0.15,6.18,0,0,10,3,10,3,0.3,0,0,7,4,7,4,0.571,0,0,0,3,0.23,7,0.7,F,5/30/2011,22,Willsboro,NY,605,Medical Student,29-0000,W,Y
354,24,Kourtney Moon*,0,0.11,0,0,0,0,0,0,-1,0,0,0,9,0,-1,0,3,18,1,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0,0,0,0,0,#DIV/0!,0,#DIV/0!,F,8/1/2011,29,Austin,TX,931830,Motorcycle Repairwoman,49-3021,B,Y
355,24,Nina Acosta,0,0.36,0,0,0,6,8,1,-0.75,0,0,0,9,0,-0.75,0,5,17,1,1,0,1,0,0,0,0,0,0,0,#DIV/0!,1,0,2,0,3,0,0,0,0,0,1,1,0,0,F,8/1/2011,51,Clovis,CA,104180,Retired LAPD Officer,33-3051,B,Baby Boomer
356,24,Matt Quinlan,0.36,0.65,0.56,0,0,7,9,1,-0.78,0,0,0,9,0,-0.22,0.36,8,16,1,1,0,1,0.36,0,0,0,0,0,0,#DIV/0!,2,1,3,2,5,3,0.6,0,0,0,1,1,0,0,M,8/1/2011,33,San Francisco,CA,864816,Attorney,23-1011,W,X
357,24,Bill Posley,0.5,0.79,0.64,1,1,8,17,2,0.26,1.17,0,0,9,0,0.9,1.67,11,15,1,1,0.5,0.5,1.67,0,0,0,0,0,0,#DIV/0!,3,1,4,3,7,4,0.571,0,0,0,2,1,0,0,M,8/1/2011,28,Venice,CA,40885,Stand-Up Comedian,27-2099,N,Y
358,24,Monica Culpepper,0.43,1.08,0.4,0,0,5,15,2,-0.17,0,1,0,9,0,0.23,0.43,14,14,1,2,0,1,0.43,0,0,0,0,0,0,#DIV/0!,4,2,5,1,9,3,0.333,0,0,0,1,0.5,1,0.5,F,8/1/2011,41,Tampa,FL,384959,Ex-NFL Player's Wife,00-0000,?,X
359,24,Colton Cumbie*,0.5,1.24,0.41,1,3,1,24,3,0.69,1.91,2,0,9,0,1.1,2.41,16,13,1,0,1,0,2.41,0,0,0,0,0,0,#DIV/0!,5,1,5,3,10,4,0.4,0,0,0,1,0.33,2,0.67,M,8/1/2011,21,Monroeville,AL,6110,Student,54-0000,?,Y
360,24,Jonas Otsuji,0.36,2.41,0.15,1,3,10,36,4,0.68,1.5,3,0,9,0,0.83,1.86,20,12,1,1,0.75,0.25,1.86,0,0,1,0,1,0,0,6,1,5,2,11,3,0.273,0,0,0,1,0.25,3,0.75,M,8/1/2011,37,Lehi,UT,58486,Sushi Chef,35-1011,B,X
361,24,Michael Jefferson,1.03,3.48,0.3,1,2,9,40,4,0.44,1.08,2,0,9,0,0.74,2.11,22,11,1,2,0.5,0.5,2.11,0,0,2,0,2,0,0,7,3,5,4,12,7,0.583,0,0,0,2,0.5,2,0.5,M,8/1/2011,30,Seattle,WA,737015,Banker,41-3031,W,Y
362,24,Jay Byars,2.32,4.81,0.48,1,4,5,50,5,0.78,2.49,4,0,9,0,1.26,4.81,25,10,1,1,0.8,0.2,4.81,0,0,3,1,3,1,0.33,8,5,5,4,13,9,0.692,0,0,0,1,0.2,3,0.75,M,8/1/2011,25,Gaffney,SC,12566,Model,41-9012,N,Y
363,24,Leif Manson,0.7,5.81,0.12,1,4,5,66,7,0.56,1.78,5,0,9,0,0.68,2.48,27,9,1,3,0.57,0.43,2.48,0,0,4,0,4,0,0,8,2,5,3,13,5,0.385,0,0,0,2,0.29,5,0.71,M,8/1/2011,27,San Diego,CA,1394928,Phlebotomist,31-9097,W,Y
364,24,Troyzan Robertson,3.32,7.81,0.43,0,4,4,67,7,0.56,2,5,0,9,0,0.99,5.32,30,8,1,3,0.57,0.43,5.32,1,0,5,2,6,2,0.33,8,5,5,4,13,9,0.692,0,0,0,2,0.29,3,0.6,M,8/1/2011,50,Miami,FL,441003,Swimsuit Photographer,27-4021,N,Baby Boomer
365,24,Kat Edorsson,2.08,9.81,0.21,0,5,7,65,7,0.7,1.82,5,0,9,0,0.91,3.9,33,7,1,2,0.71,0.29,3.9,2,1,6,0,8,1,0.13,8,5,5,2,13,7,0.538,0,0,0,2,0.29,4,0.57,F,8/1/2011,22,Orlando,FL,307573,Timeshare Representative,41-9022,W,Y
